22	181 210 331 335 353 466 568 705 712 773 812 960 1027 1049 1074 1172 1256 1289 1324 1343 1403 1483 1495 1508 1557 1578 1601 1695 1749 1776 1800 1814 1815 1966 2033 2097 2164 2174 2188 2225 2226 2282 2333 2421 2461 2469 2485 2530 2600 2602 2663 2735 2927 2934 2964 2972 3060 3194 3221 3224 3237 3262 3287 3428 3489 3516 3538 3660
23	19 122 148 166 196 268 272 297 328 359 406 449 471 586 587 592 942 946 1036 1054 1061 1068 1280 1321 1435 1449 1594 1604 1612 1707 1778 1795 1803 2005 2022 2074 2109 2117 2186 2200 2216 2237 2298 2429 2465 2492 2536 2551 2555 2575 2581 2613 2676 2680 2712 2751 2955 2969 2983 3189 3307 3360 3555 3559 3692
24	126 301 349 356 372 387 444 500 596 700 813 890 938 1021 1279 1301 1332 1420 1555 1636 1693 1792 1807 1870 2006 2015 2029 2197 2245 2378 2405 2415 2446 2583 2587 2611 2643 2700 2804 2810 2881 2988 3039 3045 3143 3240 3279 3400 3435 3614
25	114 140 171 285 366 403 404 503 507 543 549 567 580 607 690 723 726 781 785 853 985 1123 1133 1163 1170 1173 1264 1290 1292 1337 1374 1437 1447 1491 1523 1541 1689 1701 1755 1758 1789 1834 1883 1890 1903 2156 2289 2290 2331 2404 2409 2423 2438 2459 2473 2541 2552 2635 2664 2674 2691 2722 2729 2789 2862 2886 2905 2926 3008 3029 3037 3054 3068 3095 3099 3169 3254 3344 3362 3367 3415 3449 3465 3509 3613 3620 3668
26	87 125 150 256 306 309 340 399 460 468 472 497 693 737 750 778 790 874 1017 1092 1111 1267 1297 1393 1408 1502 1580 1785 1983 2054 2113 2295 2368 2381 2411 2426 2448 2505 2911 2979 2981 3020 3021 3059 3135 3177 3373 3469 3518 3596 3608 3669
27	22 56 124 149 151 263 395 679 696 720 733 740 775 787 831 870 881 903 1070 1073 1100 1102 1110 1147 1176 1200 1218 1460 1579 1592 1622 1660 1715 1772 1862 1916 1968 2013 2194 2209 2253 2284 2455 2497 2563 2767 2885 3043 3108 3216 3225 3470 3484 3500 3561 3563 3635 3680 3685
28	1 84 244 410 426 518 521 544 588 589 601 692 735 742 823 899 964 986 1025 1106 1132 1333 1410 1412 1446 1529 1704 2108 2160 2252 2266 2307 2323 2379 2385 2419 2647 2653 2689 2734 2816 2923 2967 3022 3053 3187 3236 3247 3524 3605 3615 3714
29	28 68 69 224 282 389 416 419 527 591 604 663 670 684 767 827 909 910 916 957 977 1032 1056 1064 1085 1114 1137 1185 1221 1243 1259 1320 1392 1417 1453 1619 1621 1653 1699 1708 1725 1727 1766 1846 1977 1991 2107 2134 2143 2145 2185 2211 2238 2254 2342 2360 2390 2669 2929 2954 2958 3002 3051 3055 3098 3277 3361 3363 3404 3539 3572
30	29 44 52 57 117 131 163 192 260 280 446 459 582 632 776 777 804 847 850 904 1087 1093 1165 1242 1291 1354 1416 1503 1505 1544 1641 1652 1692 1705 2002 2184 2280 2293 2317 2344 2346 2350 2418 2474 2480 2503 2580 2582 2608 2626 2654 2658 2678 2765 2803 2815 2921 3006 3027 3084 3090 3160 3161 3166 3175 3185 3208 3280 3300 3505 3639 3682
31	15 27 37 71 74 167 175 214 261 275 289 388 407 594 626 655 713 734 809 818 841 844 920 969 1002 1007 1034 1067 1109 1174 1197 1237 1258 1275 1373 1389 1445 1458 1464 1511 1573 1583 1591 1609 1679 1691 1723 1768 1879 1900 1915 1972 1973 1975 1993 2019 2035 2047 2057 2082 2101 2161 2175 2176 2190 2204 2260 2276 2287 2349 2395 2397 2499 2527 2619 2620 2623 2642 2646 2650 2743 2800 2808 2839 2859 2871 2898 2942 2946 2947 2978 2987 3015 3146 3215 3219 3258 3331 3462 3481 3485 3530 3656 3690
32	16 40 53 116 118 133 157 195 212 240 396 430 432 462 522 541 571 682 685 724 794 805 816 918 949 1013 1018 1042 1057 1066 1157 1224 1276 1368 1369 1407 1469 1478 1509 1516 1615 1726 1741 1775 1788 1796 1838 1874 1880 1955 2039 2071 2213 2246 2329 2356 2363 2377 2481 2494 2502 2540 2569 2574 2589 2609 2636 2657 2709 2724 2755 2786 2802 2878 2956 3003 3065 3078 3086 3125 3129 3130 3151 3156 3211 3250 3291 3299 3305 3371 3417 3450 3498 3558 3664 3693
33	23 99 119 138 156 216 259 305 458 533 556 563 621 666 686 738 1008 1045 1071 1096 1203 1304 1348 1497 1514 1532 1639 1709 1885 1922 1957 1978 2049 2078 2091 2099 2121 2170 2202 2228 2263 2325 2341 2393 2420 2533 2696 2977 3062 3139 3148 3157 3176 3212 3230 3315 3364 3376 3379 3381 3382 3414 3425 3586 3609
34	4 123 232 319 402 414 494 513 526 539 651 851 859 891 936 978 1119 1154 1183 1284 1377 1439 1455 1499 1590 1651 1668 1839 1848 1927 2020 2025 2040 2288 2319 2340 2403 2441 2445 2449 2558 2586 2671 2699 2706 2741 2763 2834 2856 2866 2897 2953 3000 3012 3023 3063 3074 3138 3168 3199 3272 3332 3386 3444 3490 3491 3577 3633 3645 3662 3683
35	3 77 104 194 223 233 251 342 385 427 439 499 557 625 745 762 786 830 833 852 956 1040 1069 1105 1131 1156 1166 1211 1251 1465 1489 1551 1643 1658 1721 1782 1790 1822 1828 1854 1871 1873 1938 1949 1958 2010 2152 2165 2187 2357 2373 2384 2437 2487 2579 2584 2621 2838 2847 2858 2876 2917 2965 2971 2976 3005 3085 3100 3145 3239 3366 3370 3433 3436 3453 3475 3508 3515 3519 3600 3655
36	9 26 78 82 215 287 295 365 456 457 506 525 537 569 616 727 756 871 886 940 996 1003 1063 1125 1272 1347 1370 1390 1423 1434 1472 1588 1710 1771 1779 1855 1894 2080 2148 2242 2374 2380 2383 2416 2778 2851 2857 2891 3061 3088 3150 3198 3228 3268 3355 3494 3611 3629 3716
37	34 36 43 73 86 103 170 221 296 354 397 470 498 576 622 627 648 758 765 867 980 1011 1012 1030 1077 1140 1153 1244 1253 1260 1273 1278 1364 1383 1454 1471 1553 1563 1564 1565 1631 1685 1884 1905 1908 1970 2056 2144 2163 2224 2232 2316 2456 2508 2514 2529 2576 2593 2607 2697 2702 2711 2719 2727 2728 2824 2877 3032 3102 3114 3164 3210 3245 3246 3259 3294 3296 3349 3383 3448 3456 3477 3502 3521 3545 3601 3665 3694 3719
38	17 213 408 464 488 572 642 677 792 798 879 944 948 975 1010 1029 1178 1179 1181 1195 1206 1248 1282 1386 1545 1572 1678 1733 1752 1770 1784 1896 1941 1952 2021 2043 2086 2114 2241 2353 2457 2538 2568 2805 2863 2875 2910 2915 2932 3013 3042 3123 3137 3197 3256 3351 3384 3466 3496 3547 3671
39	66 95 154 164 200 398 490 523 551 640 645 653 716 803 832 992 1136 1187 1236 1239 1254 1298 1379 1385 1436 1442 1462 1533 1808 1853 1987 1989 2172 2183 2265 2292 2300 2330 2483 2513 2515 2520 2523 2535 2559 2710 2740 2742 2822 2825 2837 2869 2931 3028 3057 3087 3126 3190 3207 3321 3336 3365 3421 3437 3452 3459 3560 3583 3597 3623 3632 3641 3673 3674 3678 3686
40	2 70 91 128 254 274 383 386 400 492 519 602 646 855 925 997 1150 1204 1281 1305 1336 1620 1642 1724 1735 1754 1852 1868 2136 2220 2233 2255 2370 2372 2408 2432 2509 2516 2550 2590 2631 2896 2970 3033 3115 3118 3170 3171 3249 3409 3447 3612
41	51 121 145 179 193 206 283 326 336 405 421 424 481 495 501 505 529 545 610 662 694 741 743 752 772 796 884 892 898 912 933 943 965 981 1024 1144 1151 1189 1192 1194 1196 1212 1217 1229 1230 1286 1310 1339 1391 1409 1421 1525 1539 1540 1554 1593 1637 1674 1742 1780 1791 1826 1844 1861 1933 1944 1963 1992 2004 2008 2110 2120 2124 2141 2182 2229 2235 2271 2320 2398 2435 2450 2468 2472 2510 2518 2534 2592 2601 2723 2737 2771 2812 2846 2848 2868 2925 2985 2990 2992 3040 3073 3109 3112 3113 3186 3222 3223 3241 3257 3260 3412 3468 3565 3571 3575 3595 3618 3663 3667 3672
42	25 85 105 161 162 279 286 322 374 440 514 562 566 650 749 799 824 883 1009 1103 1116 1162 1238 1261 1340 1424 1429 1526 1538 1546 1558 1589 1595 1722 1777 1793 1830 1859 1912 2041 2072 2139 2193 2239 2332 2335 2454 2489 2506 2507 2531 2560 2625 2638 2655 2764 2774 2826 2948 2950 3038 3083 3104 3111 3128 3152 3178 3288 3393 3431 3441 3527 3567 3606 3706
43	6 10 21 39 262 269 315 355 361 371 476 564 605 703 771 897 900 927 982 987 990 999 1019 1022 1127 1287 1323 1365 1367 1388 1467 1488 1498 1507 1634 1703 1713 1716 1767 1794 1820 1857 1875 1892 1893 1931 1965 1971 2066 2093 2189 2215 2231 2275 2343 2389 2407 2532 2651 2698 2730 2861 2865 2887 2895 2989 3103 3183 3266 3278 3290 3345 3352 3380 3389 3402 3528 3554 3582
44	83 201 208 220 327 357 412 425 450 510 516 531 600 633 811 1038 1161 1240 1245 1300 1355 1501 1543 1575 1603 1829 1847 1909 1928 1976 1995 2027 2042 2146 2208 2210 2311 2313 2524 2557 2777 2790 2854 2855 2994 3004 3041 3050 3110 3182 3196 3200 3251 3283 3285 3286 3504 3523 3537 3564 3578 3637
45	58 61 62 96 236 250 311 321 347 469 489 540 553 577 584 629 636 638 668 680 780 888 913 939 941 945 989 1048 1124 1135 1234 1262 1277 1293 1308 1318 1401 1571 1640 1734 1762 1787 1936 1985 1986 2034 2070 2123 2166 2171 2178 2199 2259 2262 2285 2412 2431 2512 2634 2645 2668 2670 2731 2757 2799 2818 2828 2853 2906 2924 2928 2961 2995 3093 3119 3265 3273 3298 3304 3316 3324 3325 3356 3424 3472 3474 3501 3507 3512 3533 3534 3541 3573 3703 3707 3708
46	5 88 178 323 431 473 547 574 619 649 654 782 783 825 865 1175 1184 1186 1208 1345 1415 1496 1661 1750 1763 1832 1940 2067 2079 2081 2223 2243 2277 2297 2305 2392 2430 2704 2787 2984 2991 3132 3226 3341 3358 3420 3493 3540 3636 3701 3717
47	11 92 113 147 155 159 231 234 241 253 266 300 330 368 375 504 509 520 536 698 872 882 902 924 931 963 983 1058 1084 1107 1180 1193 1269 1338 1457 1492 1537 1560 1568 1585 1607 1628 1646 1672 1684 1740 1757 1760 1774 1843 1878 1918 1964 2026 2046 2075 2077 2135 2159 2195 2399 2425 2470 2633 2652 2659 2692 2716 2820 2901 2922 3046 3076 3107 3134 3163 3191 3193 3227 3232 3274 3318 3337 3499 3531 3544 3546 3566 3576 3593 3625 3658 3705 3710
48	50 136 144 172 189 298 401 433 442 546 661 702 739 755 801 806 838 887 1023 1035 1081 1088 1118 1155 1171 1188 1210 1288 1395 1500 1527 1608 1662 1683 1696 1746 2030 2044 2221 2327 2382 2387 2414 2447 2486 2521 2570 2573 2577 2682 2745 2796 2814 2963 3044 3048 3069 3142 3159 3276 3354 3394 3410 3438 3439 3440 3543 3550 3569 3646 3651
49	13 20 38 67 81 176 230 281 313 345 370 428 429 524 565 701 725 793 808 821 846 885 954 1031 1039 1053 1094 1122 1190 1216 1285 1334 1381 1400 1448 1602 1738 1799 1802 1806 1812 1816 1865 1907 1929 2048 2115 2126 2130 2150 2205 2207 2234 2261 2279 2336 2371 2376 2434 2451 2471 2482 2686 2772 2795 2874 2937 2940 2962 2982 3026 3066 3067 3097 3264 3375 3413 3443 3478 3510 3591 3621 3657 3681
